bin_uri	species_name
NA	Mus minutoides
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
NA	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ADW1314	Mus famulus
BOLD:ADW0157	Mus sorella
BOLD:ADW0157	Mus sorella
BOLD:ACD3039	Mus sp. musculoides-minutoides DPL-2017
BOLD:ACD3039	Mus sp. musculoides-minutoides DPL-2017
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ADC7086	Mus cervicolor
BOLD:ACE3470	Mus musculus
BOLD:ADC7989	Mus terricolor
BOLD:ADR7033	Mus pahari
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
NA	Mus cookii
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
NA	Mus setulosus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
NA	Mus musculus
NA	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ADW9740	Mus pahari
BOLD:ACE3469	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACD3039	Mus sp. musculoides-minutoides DPL-2017
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:AAX3287	Mus spretus
BOLD:ACE3469	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ADR7033	Mus pahari
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:AAD6195	Mus musculus
BOLD:ACE3469	Mus musculus
NA	Mus musculus
BOLD:AAA3964	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
NA	Mus musculus
BOLD:AEB5201	Mus setulosus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:AAA3964	Mus musculus
BOLD:ACE3469	Mus musculus
NA	Mus musculus
BOLD:ACE3470	Mus musculus
BOLD:ACE3469	Mus musculus
BOLD:ACE3470	Mus musculus
