bin_uri	species_name
NA	Pseudorca crassidens
NA	Pseudorca crassidens
NA	Pseudorca crassidens
NA	Pseudorca crassidens
NA	Pseudorca crassidens
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
BOLD:ADJ7237	Tursiops truncatus
BOLD:ADJ7237	Tursiops truncatus
BOLD:ADJ7237	Tursiops truncatus
BOLD:AAI1263	Orcinus orca
NA	Tursiops truncatus
BOLD:ADJ7237	Tursiops truncatus
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Tursiops truncatus
BOLD:AAF3039	Lagenorhynchus obliquidens
NA	Delphinus delphis
BOLD:AAD4421	Tursiops truncatus
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAD4421	Tursiops truncatus
BOLD:AAI1263	Orcinus orca
BOLD:AAJ5335	Steno bredanensis
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAJ5335	Steno bredanensis
BOLD:AAD4421	Delphinus delphis
BOLD:AAD4421	Stenella frontalis
BOLD:AAD4421	Tursiops aduncus
BOLD:AAI6680	Grampus griseus
BOLD:ACD2819	Feresa attenuata
BOLD:AAD4421	Stenella coeruleoalba
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAD4421	Tursiops aduncus
BOLD:AAD4421	Tursiops aduncus
BOLD:AAD4421	Tursiops aduncus
BOLD:AAD4421	Tursiops truncatus
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
NA	Stenella coeruleoalba
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus capensis
BOLD:AAZ7017	Lagenorhynchus acutus
NA	Globicephala melas
BOLD:AAI1263	Orcinus orca
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAY0887	Globicephala macrorhynchus
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
NA	Stenella longirostris
BOLD:ADR8151	Tursiops truncatus
BOLD:ADJ7237	Tursiops truncatus
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
NA	Sotalia guianensis
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAF6382	Stenella attenuata
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Delphinus delphis
BOLD:AAD4421	Delphinus delphis
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:ACD2408	Orcaella heinsohni
BOLD:AAD4421	Delphinus capensis
BOLD:AAD4421	Delphinus delphis
BOLD:AAD4421	Delphinus delphis
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAI1263	Orcinus orca
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Tursiops aduncus
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Tursiops truncatus
BOLD:AAD4421	Tursiops aduncus
BOLD:ACQ5177	Tursiops australis
BOLD:AAY0887	Globicephala macrorhynchus
BOLD:AAJ2925	Lagenorhynchus albirostris
BOLD:AAI1263	Orcinus orca
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:ABY4181	Stenella longirostris
BOLD:AAI1263	Orcinus orca
BOLD:AAI6680	Grampus griseus
BOLD:AAI6680	Grampus griseus
BOLD:AAI6680	Grampus griseus
BOLD:AAI6680	Grampus griseus
